,title,job_link,days,price,average_bid,bid,payment_verified,description,job_tag
0,Voting System,/projects/php/voting-system-36074850,6 days left,$427Avg Bid,True,38 bids,True,"A online voting framework system, where people can 
1. Upload results from their polling unit.
2. but verify that they took it at the polling unit and also verify that they were there at the polling unit and actually snapped that picture.
3. Automatically add up results from all PU until a result is reached.

I will send you information on all the 176974 polling units in Nigeria to add all to the website database and allow users to upload results (picture and or video) and input (digits) with proof for each and very voting unit result.

You will additionally divide each voting unit into the 36 states in my country.","['HTML', 'JavaScript', 'MySQL', 'PHP', 'Software Architecture']"
1,Multi-Exchange Trading Bot Development,/projects/api-developmet/multi-exchange-trading-bot-development,6 days left,$2319Avg Bid,True,17 bids,True,"I want a single, well-structured codebase that can trade automatically on Binance, ByBit and MEXC through their official APIs. The bot has to read and write securely-stored keys, place, amend and cancel orders in real time, and allow me to switch each exchange on or off without touching the code.

Robust back-testing is essential. I need to drop in either .CSV or .OHLV files and test any combination of 1 m, 15 m, 30 m, 1 h, 4 h and 1 d charts—individually or mixed—then see equity curves, drawdown, and basic trade analytics before going live.

The live engine must let me define entry/exit rules, leverage and size adjustments from the full indicator set below and keep them configurable (YAML/JSON or similar is fine).  

• EMA crosses  
• RSI (user-set period)  
• A...","['Algorithm', 'API Development', 'Backtesting', 'Binance', 'C# Programming', 'JavaScript', 'Python', 'Trading']"
2,Teach QR Code Payment Creation,/projects/teaching-lecturing/teach-code-payment-creation,6 days left,$30Avg Bid,True,10 bids,True,"I’m looking for a patient tutor to walk me through, step by step, how to build QR codes that let a customer choose either Venmo or PayPal when they scan. I already understand what a QR code is; what I need is clear instruction on the creation process itself.

Here’s what I’d like from you:
• One live video-call session (screen-sharing) where you demonstrate the workflow using online QR code generators or mobile apps—whichever delivers the cleanest result.  
• Practical tips on structuring both Venmo and PayPal payment links so they embed correctly in the code.  
• A short cheatsheet after the call that summarizes the steps we covered, including any recommended tools or app settings.

I don’t need ongoing management—just enough guidance to ...","['Instructional Design', 'Mobile App Development', 'Payment Gateway Integration', 'Payment Processing', 'QR Code Making', 'Teaching/Lecturing', 'User Experience Research', 'Video Conferencing']"
3,Midland Pre-Employment Vetting,/projects/gps/midland-pre-employment-vetting,6 days left,$10 - $60,False,0 bids,True,We need 7-8 photos with Gps Map Camera Application and verification form filled by authorized person.,"['Android', 'Geolocation', 'GPS', 'Mobile App Development', 'Photo Editing', 'Photography', 'PHP', 'Software Architecture']"
4,I’m hiring a freelance architect/visualiser to develop a design and produce presentation and documentation,/projects/rendering/hiring-freelance-architect-visualiser,6 days left,$11Avg Bid,True,2 bids,False,"I’m hiring a freelance architect/visualizer to develop a design and produce presentation and documentation for a [residential / commercial / institutional] project. The scope includes concept design, development, 3D modelling, photorealistic renders, and basic construction drawings.","['3D Rendering', 'AutoCAD', 'Visualization']"
5,Construction Expense Tracker Creation,/projects/construction-management/construction-expense-tracker-creation,23 hours left,$3921Avg Bid,True,9 bids,True,"Looking to build a project tracking expense sheet for construction contractor jobs. Easily track employees daily labor expenses, daily receipts and material expenses. Have a multiple tabs that click from overview of total job expenses and shown in an excel sheet style tracker, another tab that shows daily expenses ata glance and weekly expenses at a glance. Easily track multiple jobs and click tabs from job to job. 

I want to have employee profiles pre filled out with salary or hourly wage attached to name and easily drag employees name to a job and track that they were at the job that day. The program automatically knows that employees wage and automatically adds that employee wage to that days total expense cost. 

I am looking for someone to see my vision in building this software and ...","['Construction Management', 'Data Analysis', 'Data Management', 'Database Management', 'Excel', 'Financial Analysis', 'Project Management', 'Software Architecture', 'Software Development', 'Visual Basic']"
6,Shopify Full Stack Coding Specialist Needed,/projects/shopify-site/shopify-full-stack-coding-specialist,6 days left,$410Avg Bid,True,128 bids,False,"Title : Need a full stack website designer specializing in Shopify section full theme editor.
Summary
Had a designer that thought they could properly code and they took the unethical way of coding.

I took 3 sections and showed them I’m not dumb and needed them to follow my lead.  

We are building sections within my Shopify store and the sections will hold all the code. No referencing style.css.
They need to be able to be fully editable on the theme editor. Meaning, text style, size, shadow, opacity of the background if there is one, text itself, pictures if there are one, etc etc.  

If I can build this out and fix things then someone that has experience should make this really streamless.

We have the figma design and a lot of it is the collaborative theme, my active theme has the...","['CSS', 'Graphic Design', 'HTML', 'Shopify', 'Web Design']"
7,Full-Time Executive Assistant for CEO,/projects/time-management/full-time-executive-assistant-for,6 days left,$7 / hrAvg Bid,True,7 bids,False,"Executive Assistant to the CEO (Full-Time, Remote/Hybrid)

We’re looking for an Executive Assistant who’s sharp, proactive, and thrives in a fast-paced environment. You’ll be the right hand to the CEO — handling communication, organization, and strategy behind the scenes so the company keeps running smoothly.

About the role:
You’ll act as the main point of contact between the CEO and all external parties — clients, partners, and candidates. This role requires someone who can think strategically, plan ahead, and handle sensitive information with discretion.

Your responsibilities include (but aren’t limited to):

Managing and optimizing the CEO’s schedule and priorities

Coordinating and booking meetings, travel, and events

Handling communic...","['Business Analysis', 'Event Planning', 'Management', 'Notion', 'Project Management', 'Research Writing', 'Strategic Planning', 'Time Management']"
8,Ultra-Realistic N8n AI Image Workflow,/projects/n8n/ultra-realistic-image-workflow,6 days left,$472Avg Bid,True,70 bids,True,"I want to automate ultra-realistic image generation for marketing campaigns by wiring up a robust workflow in n8n. The flow must be able to:

• Ingest multiple input types—free-form text prompts, reference images, and structured data (e.g., product specs from a CSV or API).  
• Route those inputs to an AI image model (I’m open to DALL-E, Stable Diffusion, MidJourney, or another model you recommend) and apply any pre- or post-processing steps needed for photorealistic quality.  
• Return finished images in standard formats, ready for socials, email, and web assets, along with the metadata of each generation (prompt, seed, resolution).  
• Log every run, save versions to cloud storage, and notify my team in Slack or email on completion.  

I’m looking fo...","['API Integration', 'Automation', 'Documentation', 'Image Processing', 'n8n', 'Node.js', 'Prompt Engineering', 'Stable Diffusion']"
9,Book Sorter PLC Finalization,/projects/plc/book-sorter-plc-finalization,6 days left,$20 / hrAvg Bid,True,47 bids,True,"The conveyor-based book sorter I have built here in Murrieta, California is already scanning barcodes, dropping titles into the right monetization bins, and talking to a Python layer that drives most of the high-level logic. Where I am still struggling is the PLC side: intermittent faults, occasional missed hand-shakes with the Python service, and a few stubborn I/O gremlins keep the line from running lights-out.  

Your main mission is to hunt down and eliminate those issues so we can move confidently into full production. Although straight-up system troubleshooting is the immediate priority, I’m open to your suggestions on tighter hardware integration or small control-logic tweaks if they help us achieve rock-solid uptime.

Once the sorter runs a full shift without an unplanned sto...","['Arduino', 'Automation', 'Control Engineering', 'Control System Design', 'Electrical Engineering', 'Electronics', 'PLC', 'Python', 'Software Architecture', 'Troubleshooting']"
