,title,job_link,days,price,average_bid,bid,payment_verified,description,job_tag
0,Complete Website Design and Add E-Commerce Features,/projects/ecommerce/complete-website-design-add-commerce,7 days left,$205Avg Bid,True,137 bids,False,"Looking for a freelancer to complete the design of my website hosted on Hostinger and integrate e-commerce functionality. The ideal candidate should have experience in web design, e-commerce integration, and working with Hostinger platforms.","['eCommerce', 'Graphic Design', 'HTML', 'PHP', 'Website Design']"
1,"Qualified Paralegal for USDC Court Filings, Word Formatting, No Research, Formatting Specialist Needed for Federal Court Filings — Quick Turnaround. Finalize Word + PDF Filings for U.S. District Court — Drafts Done.",/projects/microsoft-word/qualified-paralegal-for-usdc-court,6 days left,$8 - $15 / hr,False,0 bids,True,"Formatting Specialist Needed for Federal Court Filings — Quick Turnaround.
Finalize Word + PDF Filings for U.S. District Court — Drafts Done.

Qualified Paralegal Needed – Format USDC Court Filings (No Research Required)

We are seeking an ""experienced"" paralegal or legal document specialist to format federal court filings for the U.S. District Court. All documents are drafted and legal arguments are already complete — this job is formatting only for filing in USDC.

Work Required:
Format finalized drafts in Microsoft Word using our existing USDC templates
Insert Table of Contents and Table of Authorities
Apply consistent headings, spacing, page numbering, and citations
Prepare PDF filing sets, including labeled/bookmarked exhibits
Use Google Docs / Google...","['Editing', 'Google Docs', 'Legal', 'Legal Assistance', 'Legal Writing', 'Microsoft Word', 'Paralegal Services', 'PDF', 'Word Processing']"
2,"[FILL FORM] belgium agency, needs backlinks from local directories for their clients",/projects/digital-marketing/fill-form-belgium-agency-needs,6 days left,$13 / hrAvg Bid,True,18 bids,True,"Please fill in this form on how you would try to build the backlink profile 
we are mainly looking for relevant or close-by backlinks

we are a Belgium agency and basically we don't need US or any other foreign continent backlinks.
please do not submit if you are unable to deliver Belgium or European backlinks 

70% skip the form. if you are really serious and talented to grow together with us. Currently we have about 50 companies. and about 23 of them need SEO backlinks. 
We have been growing year after year. If you are serious about your career and want to work with a Belgium agency please fill in the form.","['Content Marketing', 'Digital Marketing', 'Internet Marketing', 'Keyword Research', 'Link Building', 'Search Engine Marketing', 'SEO', 'Website Optimization']"
3,Classic Business Card Design Wanted,/projects/adobe-illustrator/classic-business-card-design-wanted,6 days left,$329Avg Bid,True,92 bids,False,"I’m looking for a designer who can create a timeless, classic-style business card that presents my brand with understated elegance rather than flashy effects. The finished card must incorporate three essential elements: my name and title, full contact information, and the company logo.  

To be considered, please share a few samples of past work that illustrate your skill with traditional, refined layouts and strong typography.  

Deliverables:  
• Two concepts in standard 3.5""×2"" dimensions  
• One chosen final design supplied as print-ready PDF plus editable source file (AI or PSD)  
• Fonts and colour codes clearly noted for any future updates  

I’ll provide the logo file, contact details, and typography preferences as soon as we start. Lookin...","['Adobe Illustrator', 'Adobe Photoshop', 'Branding', 'Business Card Design', 'Graphic Design', 'Logo Design', 'Photoshop', 'Print Design', 'Typography', 'Visual Design']"
4,Port Vila Vanuatu Site Visit,/projects/photography/port-vila-vanuatu-site-visit,6 days left,$10 - $40,False,0 bids,True,"Write ""Vanuatu"" at the top of bid.
I need a reliable person already in Port Vila to carry out a focused site visit for me. While on location you will:

• Capture photographs showing the exterior, interior, key equipment, and any notable issues.  
• Walk through the premises and note the overall condition, flagging anything that looks damaged, outdated, or non-compliant.  
• Speak briefly with the onsite staff or manager to gather their comments on day-to-day operations and any concerns they have.

Once finished, send me the original images, a concise written condition report, and a short summary of the conversations (names, roles, and key points only). Good observational skills, a decent camera or late-model smartphone, and the confidence to ask polite questions wi...","['Customer Service', 'Data Collection', 'Documentation', 'Photo Editing', 'Photography', 'Project Management', 'Report Writing', 'Research', 'Technical Writing', 'Time Management']"
5,29 Indian Creek Word Document Price List,/contest/indian-creek-word-document-price-list-2658895,2 days left,$10,False,0 entries,False,"Please turn the current 29 Indian Creek price list and floor-plan package into a clean, Cipriani-style document that I can update myself in Microsoft Word (.docx) or a similar software.

All design choices—colour palette, typography, spacing, icons—must come straight from the official brand guide (see the Dropbox link below). Feel free to mix any of the approved colours and fonts so long as the finished piece feels unmistakably “29 Indian Creek.” You can check out the 29 Indian Creek Drive website for inspiration.

Scope  
• Re-layout every residence line by line, mirroring the simple, elegant hierarchy shown in the Cipriani sample. The important columns to use are Residence (let's start with 401, 701, 403, 703, 303 for 2 bedrooms/2.5 Bathrooms and 402, 70...","['Adobe InDesign', 'Branding', 'Graphic Design', 'Icon Design', 'Logo Design', 'Microsoft Word', 'Photoshop', 'Print Design', 'Typography', 'Visual Design']"
6,Experimental Data Statistical Analysis,/projects/data-analysis/experimental-data-statistical-analysis,6 days left,$423Avg Bid,True,23 bids,False,"I have a set of experimental data saved as Excel/CSV files and now need a thorough statistical analysis that turns the raw numbers into clear, actionable insights. The dataset might to be cleaned up, and it still needs professional preparation and the right analytical strategy.

Because I have not committed to a single approach yet, I am open to your recommendation—whether a descriptive analysis to summarise key patterns, an inferential analysis to test hypotheses, or even predictive modeling if the structure warrants it. Your first task will be to look over the variables, outline the most suitable methods and assumptions, and then run the analysis in a reproducible way. STATA, or a comparable statistical package are all acceptable as long as the final workflow can be replicated late...","['Data Analysis', 'Data Analytics', 'Data Science', 'Data Visualization', 'Predictive Analytics', 'SPSS Statistics', 'Statistical Analysis', 'Statistics']"
7,Fantasy Cosplay Costume Creation,/projects/art-consulting/fantasy-cosplay-costume-creation,6 days left,$533 - $1066,False,34 bids,True,"I'm seeking a skilled costume designer to create a custom character cosplay outfit. 

The character is a humanoid jellyfish but the only two things I require is a cloak and a hat that looks like a jellyfish, images of the character below. I apologize that there isn't exactly any reference images.

Ideal skills and experience:
- Expertise in fantasy costume design
- Proficiency in working with varied materials
- Attention to detail and creativity

You will be credited and paid for your work.

YOU ARE NOT TO USE ANY KIND OF AI OR GENERATIVE AI FOR THE IMAGES PROVIDED OR FOR ANY OF THE WORK.

Please provide samples of previous work.","['Art Consulting', 'Caricature & Cartoons', 'Character Illustration', 'Costume Design', 'Creative Design', 'Fashion Consulting', 'Fashion Design', 'Illustration', 'Textile Design']"
8,Realistic Mental Health Illustration Set,/projects/vector-design/realistic-mental-health-illustration-set,6 days left,$13Avg Bid,True,3 bids,False,"I’m commissioning a cohesive collection of 15 realistic-style illustrations to enrich the visual language of my mental-health brand. Every piece should communicate mindfulness to an adult audience—think grounded, relatable scenes that invite calm focus rather than overtly whimsical or child-oriented imagery.

Scope  
The work must be delivered as clean, scale-friendly vectors (AI, SVG or EPS) and accompanied by high-resolution PNGs ready for web and print. Colour choices should feel soothing yet contemporary; I’ll share our brand palette and a mood board once we begin.

Creative direction  
• Realistic rendering—credible anatomy, subtle textures, natural proportions  
• Mindfulness concepts only for this first batch (e.g., breathing exercises, guided journ...","['Adobe Creative Cloud', 'Adobe Illustrator', 'Caricature & Cartoons', 'Digital Art', 'Graphic Design', 'Illustration', 'Vector Design', 'Visual Arts']"
9,PDF Document Editing,/projects/adobe-acrobat/pdf-document-editing-39998245,6 days left,$95Avg Bid,True,7 bids,True,"I need help editing more than 10 PDF documents. The edits required include:

- Text editing
- Formatting changes

No specific software preference is required. The ideal freelancer should have:

- Experience with PDF editing tools
- Attention to detail
- Ability to make formatting and text changes accurately

Please provide your best bid.","['Adobe Acrobat', 'Copy Editing', 'Data Entry', 'Editing', 'Microsoft Word', 'PDF', 'Proofreading', 'Word']"
